,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample_freq,state,params_n_estimators
525,525,0.18383246543262544,2023-06-29 13:39:18.518764,2023-06-29 13:39:20.244093,0 days 00:00:01.725329,goss,0.4713651673094536,0.07840986020185774,43,5,12,36,1.1338794682394673e-05,1.4794088434102261e-05,3,COMPLETE,235
223,223,0.18386362918382645,2023-06-29 13:23:06.660035,2023-06-29 13:23:08.423115,0 days 00:00:01.763080,goss,0.5263781582932999,0.06587608086970222,38,5,9,34,0.021063572634928023,1.0678830497694315e-07,3,COMPLETE,196
132,132,0.1838933944252982,2023-06-29 13:19:35.962919,2023-06-29 13:19:38.832414,0 days 00:00:02.869495,goss,0.4789381784898451,0.03347959101339065,43,5,10,61,1.7793291320468187e-05,2.701767273148998e-08,5,COMPLETE,330
922,922,0.1839659352637842,2023-06-29 14:11:40.958396,2023-06-29 14:11:44.046809,0 days 00:00:03.088413,goss,0.507286948849607,0.027791146548230953,52,5,8,56,1.9887749604479947e-05,4.7371428809197433e-08,5,COMPLETE,409
415,415,0.18400184032585248,2023-06-29 13:31:39.072508,2023-06-29 13:31:40.758488,0 days 00:00:01.685980,goss,0.4950436580821556,0.03635661688309271,41,5,11,26,6.022183292736124e-06,3.360702504461935e-08,3,COMPLETE,361
671,671,0.18411647511738646,2023-06-29 13:49:50.550706,2023-06-29 13:49:52.940273,0 days 00:00:02.389567,goss,0.46226067126005255,0.037791984148044896,37,5,9,38,0.0010436269035211457,0.009388325610125654,3,COMPLETE,290
107,107,0.18415122336607753,2023-06-29 13:18:44.169216,2023-06-29 13:18:46.359357,0 days 00:00:02.190141,goss,0.5381620135504446,0.05149668442442101,71,5,16,47,7.837983106825265e-06,2.3842606665293456e-08,5,COMPLETE,433
151,151,0.18427829713430027,2023-06-29 13:20:23.167159,2023-06-29 13:20:25.007240,0 days 00:00:01.840081,goss,0.4912841454588605,0.0632531360433965,46,5,6,39,0.0001722372110928709,1.8049797772063157e-08,6,COMPLETE,141
234,234,0.18432755656209676,2023-06-29 13:23:33.768003,2023-06-29 13:23:36.145990,0 days 00:00:02.377987,goss,0.5828337127417789,0.041736018009226376,38,6,10,28,0.017849382532573885,3.243280547802942e-07,3,COMPLETE,243
703,703,0.1844583858185506,2023-06-29 13:52:45.206877,2023-06-29 13:52:47.112934,0 days 00:00:01.906057,goss,0.5549608726449093,0.06236149911628383,71,5,12,42,0.037401706810581095,0.06510821566981316,3,COMPLETE,238
484,484,0.1846876768514677,2023-06-29 13:36:06.815217,2023-06-29 13:36:08.160828,0 days 00:00:01.345611,goss,0.5158020066140709,0.09036902939077297,32,5,7,45,0.004879204301684479,0.0007137916112340106,3,COMPLETE,107
229,229,0.18477617592533502,2023-06-29 13:23:19.802057,2023-06-29 13:23:22.809257,0 days 00:00:03.007200,goss,0.4976445389112414,0.031566571171367235,42,6,8,27,0.015727754225301174,1.0266746686142664e-07,3,COMPLETE,295
871,871,0.18482470829324937,2023-06-29 14:07:24.450723,2023-06-29 14:07:25.936198,0 days 00:00:01.485475,goss,0.5058112219932478,0.08215321147690767,44,5,9,26,0.02165716517580617,0.0011476945385306067,3,COMPLETE,161
420,420,0.18497364061339566,2023-06-29 13:31:47.540444,2023-06-29 13:31:49.066411,0 days 00:00:01.525967,goss,0.4655903468902499,0.043266428050770536,44,7,14,29,9.701971576619682e-06,1.8755926101110504e-08,6,COMPLETE,385
704,704,0.18500286904671492,2023-06-29 13:52:47.113840,2023-06-29 13:52:49.480066,0 days 00:00:02.366226,goss,0.4679046272045171,0.05361523008247734,41,5,9,51,2.0307414418451386e-05,1.7978876591099034e-05,4,COMPLETE,223
236,236,0.18502980269171027,2023-06-29 13:23:38.699097,2023-06-29 13:23:41.067761,0 days 00:00:02.368664,goss,0.576485350461688,0.04142744264589171,40,6,8,27,0.027228814261609533,4.961463172983989e-08,3,COMPLETE,242
551,551,0.18504975978502508,2023-06-29 13:40:38.027890,2023-06-29 13:40:41.504422,0 days 00:00:03.476532,goss,0.5212671144049649,0.026786776191037927,51,5,10,63,0.00404332718911366,1.8285363587906855e-06,3,COMPLETE,463
352,352,0.18506497227765523,2023-06-29 13:29:10.367248,2023-06-29 13:29:13.343221,0 days 00:00:02.975973,goss,0.5647751657539745,0.04845495459258195,45,6,11,61,2.683778451292071e-05,5.624246617069475e-07,3,COMPLETE,252
847,847,0.18507663805058358,2023-06-29 14:05:12.125107,2023-06-29 14:05:14.752196,0 days 00:00:02.627089,goss,0.48863616942324667,0.03752366704633883,50,5,12,32,1.818932617397272e-08,2.871202742899179e-07,3,COMPLETE,351
148,148,0.18508355154806694,2023-06-29 13:20:17.303958,2023-06-29 13:20:18.887619,0 days 00:00:01.583661,goss,0.4920552179038469,0.06495714827999263,53,5,11,42,0.00018105492694482883,7.093642116010896e-08,6,COMPLETE,148
548,548,0.18510997601343057,2023-06-29 13:40:17.238680,2023-06-29 13:40:18.867444,0 days 00:00:01.628764,goss,0.4247267036691558,0.06915991149849096,37,5,11,33,0.006882029567132411,4.6700349293267024e-06,3,COMPLETE,205
441,441,0.18516036100374883,2023-06-29 13:32:25.331017,2023-06-29 13:32:27.008091,0 days 00:00:01.677074,goss,0.43241319355881613,0.03560780075659677,46,5,7,28,1.8631861896320917e-05,1.4506964213029665e-08,2,COMPLETE,283
861,861,0.18516523922583433,2023-06-29 14:06:15.683337,2023-06-29 14:06:20.947101,0 days 00:00:05.263764,goss,0.5915888786481129,0.01336580032681997,51,5,10,30,3.571280817440309e-05,5.559970911160515e-07,5,COMPLETE,928
