iter	Logloss
0	0.6736281955
1	0.6695084696
2	0.6632329898
3	0.6612068544
4	0.6581013611
5	0.6540192594
6	0.646831582
7	0.6392180885
8	0.6380012353
9	0.6250356013
10	0.6175908304
11	0.6118140813
12	0.6056111399
13	0.6042672093
14	0.6018129423
15	0.5961803449
16	0.5921839598
17	0.587628779
18	0.5815471952
19	0.5774385887
20	0.5699242634
21	0.5593636133
22	0.5572682905
23	0.550152485
24	0.5442831176
25	0.5387913311
26	0.5338119294
27	0.5303628307
28	0.5253378712
29	0.5168497546
30	0.5119951014
31	0.5095595053
32	0.5064912781
33	0.5024338809
34	0.4966271289
35	0.4956708869
36	0.4889915464
37	0.486289797
38	0.485260005
39	0.4812050162
40	0.4781430059
41	0.4760802569
42	0.46948973
43	0.4654127603
44	0.4591066711
45	0.4569979271
46	0.4543900311
47	0.4517175109
48	0.4490675901
49	0.4472349163
50	0.4426958735
51	0.4388271198
52	0.4377414209
53	0.4355256905
54	0.4337867357
55	0.4313729675
56	0.4291752163
57	0.4248435225
58	0.4229470411
59	0.4149161084
60	0.4127735183
61	0.4106467759
62	0.4063616092
63	0.4039403377
64	0.4012209886
65	0.3987272657
66	0.3965534337
67	0.3946234947
68	0.3914581102
69	0.3906634882
70	0.388428916
71	0.3838049693
72	0.3809069382
73	0.378640606
74	0.376572481
75	0.373146771
76	0.3697293249
77	0.3658216538
78	0.3619008712
79	0.3580161531
80	0.356667375
81	0.3555366993
82	0.3535686662
83	0.3511395588
84	0.3490663549
85	0.3478382744
86	0.3447470756
87	0.3431134909
88	0.3400297193
89	0.3366901748
90	0.3345461733
91	0.3326852728
92	0.3312005624
93	0.3297385849
94	0.3289378081
95	0.3271896442
96	0.324821495
97	0.3201032536
98	0.318715975
99	0.3173879521
100	0.3149714109
101	0.3114726288
102	0.3101511305
103	0.308580291
104	0.3078414609
105	0.3059826856
106	0.3031588868
107	0.302331657
108	0.300196634
109	0.299447442
110	0.2981527436
111	0.2970894547
112	0.2947253614
113	0.2925816923
114	0.2913044965
115	0.2901982223
116	0.2874723032
117	0.2868988382
118	0.2836137816
119	0.2821603596
120	0.2776233091
121	0.2738883587
122	0.2719765759
123	0.2712207554
124	0.2690143669
125	0.267625444
126	0.2665262298
127	0.264363958
128	0.2637941949
129	0.2628318053
130	0.2613175406
131	0.2569492696
132	0.2545316686
133	0.2540532249
134	0.252577304
135	0.2515688399
136	0.2495062672
137	0.2474430175
138	0.2464611579
139	0.2456678257
140	0.2445407623
141	0.2428298279
142	0.2414682385
143	0.2408566226
144	0.24002502
145	0.2392016885
146	0.2384534467
147	0.2377442963
148	0.2362129953
149	0.2352798526
150	0.2346482909
151	0.2344090845
152	0.2335701458
153	0.2325895736
154	0.2308208411
155	0.229142641
156	0.2270231394
157	0.2253100277
158	0.2247059579
159	0.2241737314
160	0.2230273309
161	0.2218072674
162	0.2212020641
163	0.2207747712
164	0.2199477513
165	0.2196096452
166	0.2186218885
167	0.2183756648
168	0.2174411306
169	0.2166740061
170	0.2164819532
171	0.2159168556
172	0.214534196
173	0.2133413607
174	0.2126016058
175	0.2109613647
176	0.2092316441
177	0.2086457216
178	0.2083925536
179	0.206712509
180	0.2060179669
181	0.205170777
182	0.2039801798
183	0.2033048651
184	0.2017137492
185	0.200396939
186	0.1997356596
187	0.1986185322
188	0.1971508475
189	0.1962045038
190	0.1954751057
191	0.1937118515
192	0.1922557851
193	0.1904461829
194	0.188896334
195	0.1878565179
196	0.1869724195
197	0.1855355845
198	0.1847534449
199	0.1834068212
200	0.1817581775
201	0.181067843
202	0.1800307809
203	0.1790997965
204	0.178687481
205	0.1775409332
206	0.1763793778
207	0.1752896954
208	0.1744004381
209	0.1737732077
210	0.1728458356
211	0.1711277788
212	0.1698799233
213	0.1690638895
214	0.1680309015
215	0.1673628768
216	0.1660784675
217	0.1643932854
218	0.1625317659
219	0.161493867
220	0.160414918
221	0.1595823304
222	0.1585045101
223	0.1572438618
224	0.15498509
225	0.1543557594
226	0.1529955155
227	0.1512188751
228	0.1506993171
229	0.1493841899
230	0.1488101936
231	0.1471706783
232	0.1459021976
233	0.1449572352
234	0.1434610008
235	0.1420265821
236	0.1403552336
237	0.1391830507
238	0.1373798414
239	0.1366471902
240	0.1347971998
241	0.1339079707
242	0.1321835985
243	0.1310351862
244	0.1295788746
245	0.1277231289
246	0.1262893515
247	0.1245756622
248	0.1234981858
249	0.12213415
250	0.1209804765
251	0.1191984512
252	0.1175271661
253	0.116318591
254	0.1152896859
255	0.113633779
256	0.1124938708
257	0.1107526234
258	0.1090244554
259	0.1076937445
260	0.1056732495
261	0.1038692095
262	0.1023923275
263	0.1011639129
264	0.09949922691
265	0.09823386499
266	0.09699787652
267	0.0953164691
268	0.09437891076
269	0.09317537559
270	0.09099906305
271	0.08948198216
272	0.08838639412
273	0.08642687411
274	0.08510996708
275	0.08365317219
276	0.08159314286
277	0.0804148457
278	0.07955211955
279	0.07808876736
280	0.07686201505
281	0.07544659115
282	0.07413476218
283	0.07256948256
284	0.07159264937
285	0.07044603973
286	0.06922340769
287	0.06776108473
288	0.06660442638
289	0.06565044506
290	0.06427874006
291	0.06291360307
292	0.06208405785
293	0.06099699375
294	0.06019281325
295	0.05938218328
296	0.05856195992
297	0.05748535557
298	0.05651811832
299	0.05583470604
300	0.0548610764
301	0.05404346219
302	0.05330829562
303	0.05247396153
304	0.05177312345
305	0.0505893211
306	0.04978524032
307	0.04911775443
308	0.04822194747
309	0.04758899418
310	0.04690050827
311	0.04623548952
312	0.04542117562
313	0.04455927518
314	0.04390671683
315	0.04312573629
316	0.04238211891
317	0.04193463326
318	0.04139025096
319	0.04077903247
320	0.04016530443
321	0.03939187039
322	0.03886276728
323	0.03822601198
324	0.03758104678
325	0.0370771245
326	0.03646813381
327	0.03601723444
328	0.03561491096
329	0.03503011995
330	0.03456782897
331	0.03405364544
332	0.03357742312
333	0.03308757132
334	0.03263562813
335	0.03217851933
336	0.03180614063
337	0.0314034316
338	0.03093322464
