,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
142,142,0.18056466285875272,2023-07-06 19:33:11.501245,2023-07-06 19:33:13.834737,0 days 00:00:02.333492,goss,0.4686179790037334,0.04539784782414816,86,7,10,11,0.00028129525481104047,0.23117061065112574,,1,COMPLETE,284
492,492,0.18058781222043613,2023-07-06 19:52:08.336006,2023-07-06 19:52:09.974062,0 days 00:00:01.638056,goss,0.46031784924626,0.04386907135419788,91,6,12,14,2.2741862417636914e-07,0.0022336201482302262,,4,COMPLETE,206
573,573,0.1808594657899891,2023-07-06 19:58:55.231748,2023-07-06 19:58:57.679932,0 days 00:00:02.448184,goss,0.6699929162872728,0.027354892536453287,73,5,12,12,1.4267774511528413e-07,0.0022953461624975104,,7,COMPLETE,314
448,448,0.1808658306296212,2023-07-06 19:50:16.203748,2023-07-06 19:50:17.642438,0 days 00:00:01.438690,goss,0.4651223947116558,0.06691300325323045,93,5,10,14,2.3680522485284314e-07,1.073007184812169e-05,,7,COMPLETE,170
781,781,0.18090198758148507,2023-07-06 20:17:47.593477,2023-07-06 20:17:50.033675,0 days 00:00:02.440198,goss,0.5984463993602086,0.02951684146514793,79,7,8,9,0.005543838789057168,7.997004958078536e-08,,2,COMPLETE,334
739,739,0.18098793342153188,2023-07-06 20:14:49.352081,2023-07-06 20:14:50.277051,0 days 00:00:00.924970,goss,0.6147084322636861,0.1521121787956732,64,5,12,29,4.087112417750535e-06,0.0001442443872276517,,5,COMPLETE,90
319,319,0.18103776719946307,2023-07-06 19:43:59.658926,2023-07-06 19:44:01.860673,0 days 00:00:02.201747,goss,0.5188707549271022,0.036005088112653544,76,9,8,29,3.0562703664298473e-06,9.502373248239714e-06,,1,COMPLETE,208
165,165,0.18115914658769666,2023-07-06 19:34:12.861055,2023-07-06 19:34:15.709208,0 days 00:00:02.848153,goss,0.5061938302050787,0.03328202242641036,97,8,11,27,1.6203833902216055e-05,0.01580246083563584,,1,COMPLETE,262
658,658,0.18116367361412758,2023-07-06 20:08:14.140399,2023-07-06 20:08:15.623079,0 days 00:00:01.482680,goss,0.6650106291304864,0.06586296543213677,81,5,11,56,3.080643665121072e-07,0.1477584437077029,,7,COMPLETE,140
716,716,0.181268877458611,2023-07-06 20:12:48.718086,2023-07-06 20:12:51.135047,0 days 00:00:02.416961,goss,0.4574734591290202,0.035195930269890804,91,5,5,33,0.03981926194612251,0.00358247386529877,,1,COMPLETE,196
224,224,0.18136414424778935,2023-07-06 19:37:29.429247,2023-07-06 19:37:33.944490,0 days 00:00:04.515243,goss,0.5168458198209119,0.01740065031430647,84,9,10,19,6.925780297700989e-06,0.0017790882163295943,,6,COMPLETE,514
231,231,0.18138584368432395,2023-07-06 19:37:52.772563,2023-07-06 19:37:57.356961,0 days 00:00:04.584398,goss,0.5339637928214257,0.016742251284159862,87,9,10,24,1.9273162758932772e-05,0.006626581260522301,,7,COMPLETE,563
961,961,0.18138857814250792,2023-07-06 20:33:02.256157,2023-07-06 20:33:03.727248,0 days 00:00:01.471091,goss,0.5054101113184862,0.06811099558033377,86,4,11,38,1.6951066651606845e-05,0.01544429731580154,,7,COMPLETE,132
467,467,0.18144079088116497,2023-07-06 19:51:19.980366,2023-07-06 19:51:21.666382,0 days 00:00:01.686016,goss,0.4626814867518745,0.05163536951445424,98,5,10,32,7.175346269170863e-08,0.00022846251681566803,,4,COMPLETE,172
347,347,0.18145827843079562,2023-07-06 19:45:05.702463,2023-07-06 19:45:07.234527,0 days 00:00:01.532064,goss,0.5115800821357568,0.058795565740833264,88,6,13,23,0.00019338165035800696,3.9005537581338525e-05,,1,COMPLETE,172
192,192,0.18145845588340193,2023-07-06 19:35:37.048458,2023-07-06 19:35:41.114585,0 days 00:00:04.066127,goss,0.5333613440433368,0.019084920955271856,85,9,10,23,1.8859603011322885e-05,0.002234575655034431,,1,COMPLETE,447
283,283,0.18162191640428418,2023-07-06 19:41:28.827958,2023-07-06 19:41:34.033102,0 days 00:00:05.205144,goss,0.5368246547120203,0.011806589683093225,80,9,12,28,7.416372929314588e-06,0.0004967499743431331,,4,COMPLETE,739
361,361,0.1816322760010874,2023-07-06 19:45:38.022988,2023-07-06 19:45:39.515259,0 days 00:00:01.492271,goss,0.5124611971417083,0.0699449657969611,78,5,5,33,1.657083101690546e-05,0.00021585809531221215,,3,COMPLETE,119
438,438,0.1816334236366749,2023-07-06 19:50:00.729626,2023-07-06 19:50:02.566599,0 days 00:00:01.836973,goss,0.49555312076635805,0.03994903434472975,90,5,11,29,0.29876613416779213,2.9610521918837995e-05,,2,COMPLETE,284
602,602,0.1819518172747854,2023-07-06 20:02:03.864808,2023-07-06 20:02:07.525103,0 days 00:00:03.660295,goss,0.6814575027019838,0.03450080589451086,84,7,8,8,0.0038135772811915465,1.461541142802034e-07,,1,COMPLETE,252
618,618,0.18199173945437125,2023-07-06 20:03:33.021638,2023-07-06 20:03:40.830251,0 days 00:00:07.808613,goss,0.6497369018894804,0.012172998128794464,63,5,10,17,0.0010734360889279625,1.0359854954440572e-07,,1,COMPLETE,788
207,207,0.18220834853096898,2023-07-06 19:36:32.971418,2023-07-06 19:36:35.549190,0 days 00:00:02.577772,goss,0.5562210842089126,0.032528380484751235,90,9,13,19,1.8727008638463685e-05,0.0038114020120747815,,5,COMPLETE,303
325,325,0.1822143120602101,2023-07-06 19:44:12.235118,2023-07-06 19:44:14.305012,0 days 00:00:02.069894,goss,0.5038282937463786,0.03354561883209229,79,5,12,29,8.926048187721085e-06,3.9009637746997395e-05,,1,COMPLETE,315
586,586,0.1822848363274178,2023-07-06 19:59:39.497641,2023-07-06 19:59:42.003693,0 days 00:00:02.506052,goss,0.6412428020298861,0.027558227615055473,75,5,10,52,1.1320920315919277e-06,0.025207459398133274,,7,COMPLETE,311
342,342,0.18229121001181225,2023-07-06 19:44:54.228931,2023-07-06 19:44:57.092876,0 days 00:00:02.863945,goss,0.5179407752742762,0.023095197658378287,93,8,11,29,0.0004495952496031907,1.751037323170804e-05,,1,COMPLETE,368
188,188,0.18240822916821609,2023-07-06 19:35:22.869463,2023-07-06 19:35:25.559035,0 days 00:00:02.689572,goss,0.5129899166230654,0.029077260687661526,83,9,11,26,3.118546028371046e-05,0.0020956398386768223,,1,COMPLETE,313
951,951,0.1824450982849915,2023-07-06 20:32:25.213105,2023-07-06 20:32:27.664018,0 days 00:00:02.450913,goss,0.5380970400819172,0.029824550708356476,101,5,9,42,4.351478962561445e-05,8.901500530899038e-08,,7,COMPLETE,309
286,286,0.18246409386659712,2023-07-06 19:41:43.437796,2023-07-06 19:41:47.329665,0 days 00:00:03.891869,goss,0.5361679572622214,0.015681372150439358,73,9,12,20,9.168117220526764e-06,1.3495160717677805e-08,,4,COMPLETE,602
401,401,0.18251990484656408,2023-07-06 19:48:30.959938,2023-07-06 19:48:33.024219,0 days 00:00:02.064281,goss,0.5193389983429945,0.0384735455288748,76,9,11,25,4.0290635639581466e-05,0.003286950925000688,,1,COMPLETE,286
926,926,0.1825860406291934,2023-07-06 20:30:18.089932,2023-07-06 20:30:19.820301,0 days 00:00:01.730369,goss,0.46527900711243725,0.05638609449686098,85,6,7,10,6.095508360564836e-08,2.9612535069158763e-05,,1,COMPLETE,165
491,491,0.18259754237716197,2023-07-06 19:52:06.518547,2023-07-06 19:52:08.335185,0 days 00:00:01.816638,goss,0.47359525733386476,0.0368817689741413,81,6,9,7,2.1592011621309026e-07,1.3428353111119996e-05,,7,COMPLETE,248
788,788,0.1827141257478802,2023-07-06 20:18:21.196212,2023-07-06 20:18:25.716443,0 days 00:00:04.520231,goss,0.5517751542724164,0.012064172519582597,82,8,7,9,1.5195641656359872e-05,1.584887711419824e-06,,4,COMPLETE,642
841,841,0.18272882855146527,2023-07-06 20:22:53.290173,2023-07-06 20:22:55.830228,0 days 00:00:02.540055,goss,0.4793823205994663,0.05791071577729223,84,7,7,42,3.116061723613172e-08,5.321479533696863e-07,,3,COMPLETE,144
273,273,0.1827782967307321,2023-07-06 19:40:58.459325,2023-07-06 19:41:01.125311,0 days 00:00:02.665986,goss,0.5167874470550394,0.023946959677444552,94,4,8,24,2.1791501186648388e-05,0.007594119895087503,,1,COMPLETE,356
536,536,0.18279453996169548,2023-07-06 19:55:03.414898,2023-07-06 19:55:04.911744,0 days 00:00:01.496846,goss,0.3988105811136036,0.054230869448147104,56,5,8,14,2.867537620915245e-08,0.0016894595281944954,,4,COMPLETE,152
