,importance
AB,25
DU,25
BQ,25
AF,28
CR,28
DA,49
GL,61
EL,64
BC,69
CD,76
CC,76
FI,79
EB,79
DL,82
EE,85
FL,91
EU,91
AX,91
FR,91
AM,96
CB,97
BP,97
CS,97
DE,97
CH,97
AY,99
EG,100
EH,100
GH,100
EP,100
FS,100
FD,100
GB,100
FE,100
GF,100
GE,100
FC,100
AZ,100
DV,100
BD,100
BN,100
BR,100
BZ,100
CF,100
CL,100
DY,100
AR,100
CW,100
GI,100
DH,100
DI,100
DN,100
AH,100
CU,100
DF,100
