,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
289,289,0.24630985412525808,2023-06-13 22:48:07.620988,2023-06-13 22:48:09.188287,0 days 00:00:01.567299,0.6260787197991833,7,0.5312504571791196,0.017154261668885628,9.873824268424727,0.08591949015944057,36,4,27,112,COMPLETE
212,212,0.24636172777166362,2023-06-13 22:46:07.708789,2023-06-13 22:46:08.878275,0 days 00:00:01.169486,0.6349780974445497,7,0.5228477474613273,0.004180704327216768,6.540273232912325,0.09149060721645429,32,4,25,115,COMPLETE
908,908,0.2464348987268289,2023-06-13 23:18:40.887594,2023-06-13 23:18:42.250850,0 days 00:00:01.363256,0.6256565024916166,7,0.5126161603444811,1.4263718710400054e-05,3.591520042313035,0.057327154623876976,32,6,33,114,COMPLETE
568,568,0.24651370397189581,2023-06-13 22:58:58.594417,2023-06-13 22:59:00.290447,0 days 00:00:01.696030,0.5710698125046905,7,0.5028936517489019,0.0015925273708137073,9.97717773427845,0.05959332631445581,32,6,23,124,COMPLETE
418,418,0.2465848852538626,2023-06-13 22:52:16.967290,2023-06-13 22:52:18.307778,0 days 00:00:01.340488,0.6601937070763406,7,0.5235454219288258,0.0016536815120550316,9.869980030713162,0.10680720497302179,32,4,23,119,COMPLETE
98,98,0.24697515330602712,2023-06-13 22:43:43.446543,2023-06-13 22:43:44.583743,0 days 00:00:01.137200,0.6914682831409518,5,0.5735273948175739,4.9709449872085305e-05,6.103908699749394,0.09121568805697093,69,4,9,4,COMPLETE
428,428,0.24706050931398071,2023-06-13 22:52:35.743473,2023-06-13 22:52:37.754797,0 days 00:00:02.011324,0.5769523460251664,7,0.5361961536907153,0.0056165647281719985,9.977333073098078,0.05019315902348894,32,4,34,118,COMPLETE
742,742,0.24709953715533206,2023-06-13 23:09:30.098363,2023-06-13 23:09:31.572764,0 days 00:00:01.474401,0.6316337491045615,7,0.41732349328370255,0.0006979460627950317,6.820784599952187,0.06750766743147348,47,4,29,111,COMPLETE
306,306,0.24723381037319675,2023-06-13 22:48:28.730537,2023-06-13 22:48:30.012627,0 days 00:00:01.282090,0.6454580507470883,7,0.5451035460583622,0.000779293125514801,6.846672491968183,0.09198663628090505,32,4,26,113,COMPLETE
313,313,0.2474033699010387,2023-06-13 22:48:45.056972,2023-06-13 22:48:46.373720,0 days 00:00:01.316748,0.640246253833559,7,0.5312250585919815,0.009249040386040555,5.057294054303556,0.09675541056821865,32,4,27,118,COMPLETE
473,473,0.247419338300066,2023-06-13 22:54:13.665027,2023-06-13 22:54:15.265980,0 days 00:00:01.600953,0.643090192210282,7,0.47986663750061215,0.007096634369370388,6.293113292177813,0.05814716364764871,32,4,28,103,COMPLETE
216,216,0.24745089703049727,2023-06-13 22:46:12.499092,2023-06-13 22:46:13.679273,0 days 00:00:01.180181,0.6422108643496415,7,0.5187532884204589,0.0037995705076161786,6.718472193413839,0.09762826287466066,32,4,27,112,COMPLETE
319,319,0.24745688859628764,2023-06-13 22:48:55.561751,2023-06-13 22:48:57.110782,0 days 00:00:01.549031,0.653859788489179,7,0.5260756730007539,0.00837835288255839,5.45819477111084,0.055852608338818485,32,4,30,120,COMPLETE
193,193,0.24746265419965183,2023-06-13 22:45:40.388556,2023-06-13 22:45:41.866032,0 days 00:00:01.477476,0.6499653083140002,7,0.5291324955077537,0.0013958771755987205,6.472534163065147,0.06588100064270443,32,4,31,113,COMPLETE
294,294,0.24769160645355234,2023-06-13 22:48:14.423205,2023-06-13 22:48:15.857247,0 days 00:00:01.434042,0.6130646240243554,7,0.5163856205999915,0.008530475309715149,7.0773781905649,0.07562125892417647,44,4,29,109,COMPLETE
303,303,0.24773374816301424,2023-06-13 22:48:24.577611,2023-06-13 22:48:25.930362,0 days 00:00:01.352751,0.6024546064021857,7,0.5310347435117656,0.005489370694801705,9.767060301340841,0.09750108795720629,32,4,34,115,COMPLETE
250,250,0.24781238695332763,2023-06-13 22:47:06.265815,2023-06-13 22:47:07.316223,0 days 00:00:01.050408,0.6359743197246635,7,0.48388339334651487,0.0024129154526107235,6.690468436057037,0.10420445537358723,32,4,27,114,COMPLETE
287,287,0.2478296038669132,2023-06-13 22:48:02.652075,2023-06-13 22:48:05.615370,0 days 00:00:02.963295,0.6157923031911863,7,0.5106119646484584,0.010384967294178133,4.6924978163518665,0.05916610727599952,45,4,25,116,COMPLETE
792,792,0.24783492055686937,2023-06-13 23:11:56.269491,2023-06-13 23:11:58.372736,0 days 00:00:02.103245,0.6519869673599832,7,0.5099477511358159,0.010002175848390929,2.28040568724334,0.03038523424375224,32,4,21,119,COMPLETE
263,263,0.2478630456989159,2023-06-13 22:47:20.953044,2023-06-13 22:47:22.504753,0 days 00:00:01.551709,0.6507750312720152,7,0.47414726159103315,0.003030706759595666,9.922808035881209,0.08197999223532297,32,4,21,118,COMPLETE
290,290,0.2478655913789645,2023-06-13 22:48:09.189129,2023-06-13 22:48:10.686410,0 days 00:00:01.497281,0.5842454901996524,7,0.5335901500192443,0.01687323718382973,9.80751005010701,0.0820835550708559,39,4,30,111,COMPLETE
178,178,0.2480175321812091,2023-06-13 22:45:22.501523,2023-06-13 22:45:23.583656,0 days 00:00:01.082133,0.6845177413867488,6,0.5877522586212096,0.0003977131007279328,6.545605194777746,0.10308734342389017,32,4,35,101,COMPLETE
192,192,0.24814292552185524,2023-06-13 22:45:38.881854,2023-06-13 22:45:40.387621,0 days 00:00:01.505767,0.6495147266134286,7,0.5354714392500128,0.0019147242289971331,9.95449684298322,0.06703727321855238,35,4,33,106,COMPLETE
324,324,0.24817925904046276,2023-06-13 22:49:06.258295,2023-06-13 22:49:07.756188,0 days 00:00:01.497893,0.6324164055922223,7,0.5282405573183678,0.0020465772151485205,5.048964295002519,0.06732807472887174,32,4,25,105,COMPLETE
252,252,0.24828991263156874,2023-06-13 22:47:08.400407,2023-06-13 22:47:09.488003,0 days 00:00:01.087596,0.6350860042527874,7,0.4885041554662288,0.0020125040629128195,9.761630640813552,0.10129383085459628,35,4,31,113,COMPLETE
259,259,0.24837472328511595,2023-06-13 22:47:15.664648,2023-06-13 22:47:17.098390,0 days 00:00:01.433742,0.6333155574199366,7,0.5192117666895721,0.0011523215800766991,9.95776732367909,0.08119240010791566,44,4,26,116,COMPLETE
220,220,0.24838821095432753,2023-06-13 22:46:17.332539,2023-06-13 22:46:18.536042,0 days 00:00:01.203503,0.6233434160842976,7,0.5082489885084904,0.010485536117505564,4.9542430116161045,0.08293844583120212,37,4,27,111,COMPLETE
846,846,0.24840729593731162,2023-06-13 23:15:06.400524,2023-06-13 23:15:08.027553,0 days 00:00:01.627029,0.6358755860127477,5,0.46824808790648675,1.0355831671789347e-05,9.962496579555912,0.09655517157218291,40,4,16,107,COMPLETE
244,244,0.24844291367084717,2023-06-13 22:46:58.280228,2023-06-13 22:46:59.519501,0 days 00:00:01.239273,0.6199857418605548,7,0.5036143342164365,0.001461485499057069,4.489865968073213,0.06949653845151041,39,4,33,106,COMPLETE
876,876,0.24844835799001544,2023-06-13 23:16:38.197708,2023-06-13 23:16:39.355109,0 days 00:00:01.157401,0.628490687567809,7,0.513636684233756,4.366236135817091e-08,6.927275967781655,0.12134159486943293,45,4,26,106,COMPLETE
706,706,0.24848258312145666,2023-06-13 23:07:06.852939,2023-06-13 23:07:08.404977,0 days 00:00:01.552038,0.6297661219392433,7,0.516741979414238,0.24826984127708754,8.223059906428965e-07,0.0337996327091574,32,4,25,115,COMPLETE
659,659,0.24852821906766193,2023-06-13 23:03:54.143640,2023-06-13 23:03:55.505549,0 days 00:00:01.361909,0.6381375316588516,6,0.5158128045517993,0.03156739425462302,3.914296471657635,0.05763493559400024,36,4,29,117,COMPLETE
243,243,0.24853776921043882,2023-06-13 22:46:56.886764,2023-06-13 22:46:58.279369,0 days 00:00:01.392605,0.6153715082354554,7,0.5005342639271313,0.0015207411477010286,9.873718463377303,0.07506163053133091,39,4,33,107,COMPLETE
713,713,0.24860333771562562,2023-06-13 23:07:25.397795,2023-06-13 23:07:27.036231,0 days 00:00:01.638436,0.6377998057569757,7,0.560098092560701,1.708368573945945e-07,6.862029562396978,0.05335316143382378,36,4,32,126,COMPLETE
803,803,0.2486088902045525,2023-06-13 23:12:28.183279,2023-06-13 23:12:29.740474,0 days 00:00:01.557195,0.5624881122409998,7,0.646448634870716,0.019845312993742027,6.3951927715601675,0.08172572667977608,32,4,9,106,COMPLETE
457,457,0.24869243079164863,2023-06-13 22:53:44.511141,2023-06-13 22:53:45.993681,0 days 00:00:01.482540,0.5627872721876033,7,0.5189521634630466,0.0007543737044263119,5.306563134654382,0.05743016421748273,32,4,31,126,COMPLETE
907,907,0.24870232636599485,2023-06-13 23:18:39.419963,2023-06-13 23:18:40.886527,0 days 00:00:01.466564,0.6513016109435953,7,0.541681457606166,8.522261669581564e-08,5.254265209333749,0.08325909801915064,39,4,27,111,COMPLETE
998,998,0.24870915951451256,2023-06-13 23:23:53.354430,2023-06-13 23:23:54.948187,0 days 00:00:01.593757,0.4949676564606062,7,0.5671281491286556,8.623799311666691e-05,9.924377637533055,0.07024299501820652,36,4,24,122,COMPLETE
296,296,0.2487196349024883,2023-06-13 22:48:16.959787,2023-06-13 22:48:18.250081,0 days 00:00:01.290294,0.6302940468811522,7,0.5302485763960274,0.006076984789244742,9.620152175028343,0.09142564837288698,39,4,27,116,COMPLETE
261,261,0.24881234715076803,2023-06-13 22:47:18.493001,2023-06-13 22:47:19.548218,0 days 00:00:01.055217,0.5373059069040207,7,0.5327751971122593,0.0018258670617091407,2.678736523406185,0.09894721961873228,36,4,27,114,COMPLETE
798,798,0.2489106760946119,2023-06-13 23:12:21.549642,2023-06-13 23:12:22.949509,0 days 00:00:01.399867,0.6217806975825924,7,0.49274124791308593,0.006974171698687492,5.110910876697572,0.05885177152039025,32,4,34,125,COMPLETE
357,357,0.24903091122867146,2023-06-13 22:50:20.370681,2023-06-13 22:50:21.747048,0 days 00:00:01.376367,0.5482713977035336,7,0.5154554330015918,0.0022665159413148518,5.215625942869837,0.07540476171394829,36,4,26,71,COMPLETE
275,275,0.24903157214377128,2023-06-13 22:47:45.199771,2023-06-13 22:47:46.309792,0 days 00:00:01.110021,0.4481338077011397,7,0.5229407933042293,0.0023957792453316615,7.204085432416056,0.11731310335991584,40,4,23,120,COMPLETE
977,977,0.24908593752454503,2023-06-13 23:22:49.156826,2023-06-13 23:22:50.590031,0 days 00:00:01.433205,0.6088697184730266,7,0.43744713738041263,0.18856814974525782,5.164890616457183,0.08361962366478369,32,4,15,120,COMPLETE
266,266,0.24909834593656754,2023-06-13 22:47:24.598620,2023-06-13 22:47:25.885124,0 days 00:00:01.286504,0.6548314017741386,7,0.4813111781540129,0.028607865214804146,5.9764023434791484,0.08095972374278243,32,4,27,121,COMPLETE
305,305,0.249112908041113,2023-06-13 22:48:27.402403,2023-06-13 22:48:28.729610,0 days 00:00:01.327207,0.6278148276413192,7,0.5230254791047176,0.001785730090174854,3.942486089028297,0.07791420837857471,36,4,21,120,COMPLETE
398,398,0.2491304011081523,2023-06-13 22:51:44.532860,2023-06-13 22:51:45.796862,0 days 00:00:01.264002,0.5186148878869923,7,0.5321492125251618,0.0021918591991418363,5.102052210763544,0.08272821140036023,41,4,27,124,COMPLETE
210,210,0.24915593836130295,2023-06-13 22:46:05.255827,2023-06-13 22:46:06.499907,0 days 00:00:01.244080,0.6407397753491655,7,0.5218776335154991,0.004856976966616338,6.575985637508503,0.08838047433591346,32,4,24,113,COMPLETE
863,863,0.2491852067789178,2023-06-13 23:16:03.888922,2023-06-13 23:16:05.887685,0 days 00:00:01.998763,0.6034970583400073,7,0.5066390088840371,3.3337886838156995e-08,3.8710305520524964,0.02935986943957514,32,4,24,106,COMPLETE
868,868,0.24919266132511025,2023-06-13 23:16:21.316411,2023-06-13 23:16:22.596445,0 days 00:00:01.280034,0.6087332891670537,7,0.6159459307102362,3.743010600351245e-08,1.7914023787202566,0.061368124241452465,32,4,51,103,COMPLETE
209,209,0.2492097833400617,2023-06-13 22:46:04.072448,2023-06-13 22:46:05.254987,0 days 00:00:01.182539,0.6430228185690022,7,0.527789628688351,0.004814503401404796,6.76479413514561,0.08732342372186913,32,4,24,116,COMPLETE
105,105,0.24924003591133098,2023-06-13 22:43:51.691903,2023-06-13 22:43:52.479070,0 days 00:00:00.787167,0.6889154527732901,4,0.5293634210105929,5.114023502931584e-05,4.022032088736514,0.16904535168735224,62,4,50,4,COMPLETE
621,621,0.2492799130870494,2023-06-13 23:02:05.009122,2023-06-13 23:02:06.500367,0 days 00:00:01.491245,0.6693791030674179,7,0.5376274022822448,0.009652921833547082,9.68237166050544,0.0705087776346678,32,4,34,116,COMPLETE
248,248,0.24930090724140896,2023-06-13 22:47:03.855786,2023-06-13 22:47:05.107706,0 days 00:00:01.251920,0.6481547342482932,7,0.5134603312865159,0.001270171479854152,4.677045198014498,0.07247746838708792,43,4,34,122,COMPLETE
943,943,0.24930507988455414,2023-06-13 23:20:55.721326,2023-06-13 23:20:57.147122,0 days 00:00:01.425796,0.5252354779397768,7,0.595986715448464,1.8760309147423895e-06,3.7226074796836346,0.06235841438726304,47,4,30,109,COMPLETE
431,431,0.24935267277171877,2023-06-13 22:52:40.079705,2023-06-13 22:52:41.378833,0 days 00:00:01.299128,0.6325097637507391,7,0.5130590977729022,0.8206659108853275,3.591358185589138,0.07653042419457917,42,5,25,114,COMPLETE
769,769,0.24937990556172845,2023-06-13 23:10:48.518018,2023-06-13 23:10:49.900814,0 days 00:00:01.382796,0.6453689906542829,7,0.6048912029503513,0.0016338336356623102,6.851848919228072,0.07312211424626175,32,4,25,122,COMPLETE
537,537,0.2494455091727276,2023-06-13 22:57:20.252769,2023-06-13 22:57:21.424717,0 days 00:00:01.171948,0.4937152664318431,7,0.5814402985095068,2.454473278990436e-06,6.7089714303472805,0.13642600516703007,39,4,23,111,COMPLETE
342,342,0.24946250719793278,2023-06-13 22:49:56.693009,2023-06-13 22:49:58.236877,0 days 00:00:01.543868,0.640884646863445,7,0.5457793371418904,0.003776677148723703,6.78070510111948,0.062400416100798835,43,4,34,121,COMPLETE
213,213,0.2494639988653336,2023-06-13 22:46:08.879185,2023-06-13 22:46:10.063884,0 days 00:00:01.184699,0.6352220846956561,7,0.5206240245999426,0.004552226988180373,6.365775187781941,0.08830586729282477,32,4,25,114,COMPLETE
196,196,0.24946784327437307,2023-06-13 22:45:44.954884,2023-06-13 22:45:46.321217,0 days 00:00:01.366333,0.6476572793037358,7,0.5259189879683754,0.0013145534082227908,6.731115597471691,0.06940970444853291,33,4,32,115,COMPLETE
414,414,0.24948119431310664,2023-06-13 22:52:08.065597,2023-06-13 22:52:10.071562,0 days 00:00:02.005965,0.4924912827008352,7,0.48736975590948467,0.0024885970535873142,6.779864992560564,0.03815594395329432,43,4,26,117,COMPLETE
527,527,0.24959279430933062,2023-06-13 22:56:28.993019,2023-06-13 22:56:30.408341,0 days 00:00:01.415322,0.6491809997870102,7,0.635375244932585,0.25560845939156224,7.059142344280243,0.06922787533182542,39,4,36,121,COMPLETE
958,958,0.24961859255273475,2023-06-13 23:21:49.923357,2023-06-13 23:21:51.106085,0 days 00:00:01.182728,0.5610057503269369,7,0.5348084546454643,1.938528906395016e-08,9.91582513713973,0.11897697087128653,45,4,36,111,COMPLETE
595,595,0.24962241433660823,2023-06-13 23:00:41.956049,2023-06-13 23:00:43.097506,0 days 00:00:01.141457,0.474913892110392,7,0.5424026410563827,0.0016767357629778685,4.407153444338757,0.098789380954012,32,4,30,112,COMPLETE
441,441,0.24962305315394953,2023-06-13 22:53:17.230151,2023-06-13 22:53:19.011122,0 days 00:00:01.780971,0.6174965544180968,7,0.5404699057595199,0.1575746760675167,9.966691761520925,0.04982867470384092,32,4,27,128,COMPLETE
117,117,0.2496276927142242,2023-06-13 22:44:06.880634,2023-06-13 22:44:08.260207,0 days 00:00:01.379573,0.630488606750078,7,0.529548985484068,0.0008504323275433086,0.3218993547107327,0.040560942910385665,32,4,50,4,COMPLETE
817,817,0.249694790948625,2023-06-13 23:13:15.738013,2023-06-13 23:13:17.589231,0 days 00:00:01.851218,0.5960786426091078,7,0.5335603301486997,0.005604751171507317,9.986245550315184,0.0685107553337279,50,5,14,100,COMPLETE
151,151,0.24970978868359403,2023-06-13 22:44:54.180523,2023-06-13 22:44:55.373868,0 days 00:00:01.193345,0.6908912900671155,7,0.5515545172832947,0.00038436625525907215,4.9401769714677455,0.0681939152661559,32,4,40,100,COMPLETE
882,882,0.2497908514109848,2023-06-13 23:16:53.278145,2023-06-13 23:16:54.985229,0 days 00:00:01.707084,0.6226578047697042,6,0.6119164526744949,2.748349625674643e-06,6.995619401354758,0.048023221139850594,32,4,30,113,COMPLETE
112,112,0.24980264888401035,2023-06-13 22:43:59.307951,2023-06-13 22:44:00.941855,0 days 00:00:01.633904,0.6503887037121131,7,0.5082868875479984,0.0006147310243352842,2.5515749591732066,0.04212812654533657,77,4,46,6,COMPLETE
200,200,0.2498363004231938,2023-06-13 22:45:50.974728,2023-06-13 22:45:52.351003,0 days 00:00:01.376275,0.6447783680616986,7,0.5311039857903259,0.0022313277012778795,7.541110351167728,0.0665592891202398,34,4,30,120,COMPLETE
224,224,0.24983924060101517,2023-06-13 22:46:21.729713,2023-06-13 22:46:22.849261,0 days 00:00:01.119548,0.6418122421213927,7,0.5108598340418605,0.017871166381378357,6.640805112735858,0.10441385460430105,41,4,20,118,COMPLETE
974,974,0.2498614861298818,2023-06-13 23:22:45.520225,2023-06-13 23:22:46.743752,0 days 00:00:01.223527,0.518199255753612,7,0.4602466940865259,0.0011182555549071485,6.837352789140569,0.09800054018317864,32,4,39,110,COMPLETE
155,155,0.2499226072747265,2023-06-13 22:44:58.891464,2023-06-13 22:45:00.258219,0 days 00:00:01.366755,0.6784272904383399,7,0.5799248564705154,0.00041879127691003734,5.40893064846319,0.06550307107246847,49,4,43,102,COMPLETE
239,239,0.25002264607576685,2023-06-13 22:46:51.614018,2023-06-13 22:46:53.030931,0 days 00:00:01.416913,0.6251634401570796,7,0.5088129175533702,0.001638875537857055,9.606947777509493,0.07739432318722993,43,4,17,118,COMPLETE
189,189,0.2500246448418399,2023-06-13 22:45:33.817661,2023-06-13 22:45:35.344782,0 days 00:00:01.527121,0.6503547379134134,7,0.5376946577663508,0.0005111617267089997,9.899436332056398,0.05425253961672097,32,4,51,102,COMPLETE
203,203,0.2500692538787956,2023-06-13 22:45:55.062808,2023-06-13 22:45:56.701700,0 days 00:00:01.638892,0.6505109178533365,7,0.5164110853047147,0.0020761765333493685,9.721877700565942,0.06048008522359931,32,4,30,121,COMPLETE
866,866,0.2500753835610522,2023-06-13 23:16:18.293089,2023-06-13 23:16:20.150472,0 days 00:00:01.857383,0.6040582309975053,7,0.5187903676286258,7.505479186554223e-05,6.357847728659077,0.044851138105702425,44,4,21,117,COMPLETE
988,988,0.25010615231022265,2023-06-13 23:23:41.021904,2023-06-13 23:23:42.517701,0 days 00:00:01.495797,0.6349518491252889,7,0.500139988583912,7.85216908729632e-06,7.088265273032493,0.06031036227576931,36,4,52,124,COMPLETE
790,790,0.2501088842082628,2023-06-13 23:11:53.821308,2023-06-13 23:11:55.552063,0 days 00:00:01.730755,0.5138003332125304,7,0.5382879177476362,0.4849112317857598,6.833414662265604,0.04921718201552601,47,4,34,113,COMPLETE
753,753,0.2501198813036582,2023-06-13 23:09:54.654980,2023-06-13 23:09:56.604208,0 days 00:00:01.949228,0.5632802497482851,7,0.44442974919209083,0.06557469055206314,5.519550830833812,0.041182734942096046,48,4,30,107,COMPLETE
