,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
238,238,0.19010412607824806,2023-06-22 19:50:51.589605,2023-06-22 19:50:54.716110,0 days 00:00:03.126505,goss,0.4879191768174064,0.04968254051772425,75,9,13,68,1.0743604162238535e-06,1.9315098639864735e-08,,2,COMPLETE
440,440,0.1905305858312185,2023-06-22 20:04:38.781943,2023-06-22 20:04:40.675802,0 days 00:00:01.893859,goss,0.45728692900656276,0.09729900329594518,43,4,13,75,2.7656118956433507e-08,0.0003134524974035953,,1,COMPLETE
103,103,0.19065886521872988,2023-06-22 19:43:41.370542,2023-06-22 19:43:44.693226,0 days 00:00:03.322684,goss,0.5612266532137233,0.05565054318719497,69,6,15,72,2.4337491944443753e-05,2.9143598210549935e-08,,2,COMPLETE
416,416,0.19069087366546172,2023-06-22 20:03:42.178134,2023-06-22 20:03:44.325181,0 days 00:00:02.147047,goss,0.47234688787340307,0.07242786074552253,38,4,12,73,6.176398876620635e-07,2.189519014211112e-08,,1,COMPLETE
757,757,0.19099446706150222,2023-06-22 20:34:20.376883,2023-06-22 20:34:22.659202,0 days 00:00:02.282319,goss,0.5678369360859357,0.07395163825067566,52,4,11,94,1.7481411961512573e-07,1.2115302218749328e-07,,1,COMPLETE
280,280,0.19117185390271313,2023-06-22 19:53:24.283457,2023-06-22 19:53:27.238041,0 days 00:00:02.954584,goss,0.6096820854260833,0.047691873891205,67,9,15,67,5.159260591338689e-06,6.171713103240547e-05,,2,COMPLETE
333,333,0.19120929636371653,2023-06-22 19:56:10.666191,2023-06-22 19:56:13.677315,0 days 00:00:03.011124,goss,0.576166118162365,0.044599881413282604,32,9,14,80,1.2078938714336714e-06,4.1520980982243505e-08,,2,COMPLETE
224,224,0.19127779598558134,2023-06-22 19:50:07.503868,2023-06-22 19:50:10.420766,0 days 00:00:02.916898,goss,0.5026665121054762,0.04395925429562547,77,9,16,72,1.098326675333413e-06,2.0668212771846827e-08,,2,COMPLETE
211,211,0.19132053609558797,2023-06-22 19:49:22.304571,2023-06-22 19:49:25.333083,0 days 00:00:03.028512,goss,0.5507120199778656,0.04619405086882833,76,9,15,78,1.293239063207629e-06,3.58215660141112e-08,,2,COMPLETE
468,468,0.1913414226644442,2023-06-22 20:05:56.799626,2023-06-22 20:05:58.880387,0 days 00:00:02.080761,goss,0.5838672854768708,0.07387691654292576,40,4,9,82,3.292063988672311e-08,0.0001527621700902643,,1,COMPLETE
428,428,0.19134989246951106,2023-06-22 20:04:18.136057,2023-06-22 20:04:20.290731,0 days 00:00:02.154674,goss,0.46800792146727205,0.08347390309310364,48,4,10,80,1.4373407867631263e-08,0.000633178541127847,,1,COMPLETE
919,919,0.19145696249834554,2023-06-22 20:56:15.833682,2023-06-22 20:56:17.228914,0 days 00:00:01.395232,goss,0.6951731372793664,0.22466714816197048,32,4,12,90,4.095662440211017e-06,0.00023460508822858205,,3,COMPLETE
657,657,0.19152806227820157,2023-06-22 20:24:38.059963,2023-06-22 20:24:41.402433,0 days 00:00:03.342470,goss,0.47148832297536636,0.046951470290479705,77,9,13,78,0.00021973330316007864,7.956442426294566e-05,,1,COMPLETE
479,479,0.19162096085721872,2023-06-22 20:06:40.595677,2023-06-22 20:06:42.911024,0 days 00:00:02.315347,goss,0.6164109556762557,0.06822908325621571,41,5,13,73,1.0284716984186289e-08,5.4753046387887505e-05,,1,COMPLETE
500,500,0.19163159399006913,2023-06-22 20:08:02.256749,2023-06-22 20:08:06.427094,0 days 00:00:04.170345,goss,0.5769465787697124,0.026738960245093934,52,4,14,86,2.1710263859917008e-07,3.0157215579796833e-06,,1,COMPLETE
668,668,0.1916727214070788,2023-06-22 20:26:22.505021,2023-06-22 20:26:25.349059,0 days 00:00:02.844038,goss,0.5359705470265558,0.061102626890467776,34,9,12,68,9.15688550054599e-08,1.132052752312737e-05,,2,COMPLETE
152,152,0.19167865631139674,2023-06-22 19:46:11.140743,2023-06-22 19:46:15.306630,0 days 00:00:04.165887,goss,0.5373832199236582,0.04455215627009786,72,9,13,80,8.623721576456781e-07,4.9599233407699375e-08,,2,COMPLETE
534,534,0.19169523279313655,2023-06-22 20:10:30.182650,2023-06-22 20:10:33.801681,0 days 00:00:03.619031,goss,0.583193044146493,0.030310893620945127,50,4,12,86,0.00027981109654157056,3.0748896975661778e-06,,1,COMPLETE
617,617,0.19174210450522367,2023-06-22 20:19:53.745291,2023-06-22 20:19:55.355926,0 days 00:00:01.610635,goss,0.4890192077707397,0.1214203665673502,44,4,11,67,1.8645010414970064e-07,0.0002932944674587959,,2,COMPLETE
441,441,0.19204442712315178,2023-06-22 20:04:40.676715,2023-06-22 20:04:42.491398,0 days 00:00:01.814683,goss,0.46170627987233026,0.0983407651904548,48,4,8,76,3.981759575185355e-08,0.0004084926191902585,,1,COMPLETE
242,242,0.19205552431190298,2023-06-22 19:51:04.789146,2023-06-22 19:51:07.740501,0 days 00:00:02.951355,goss,0.5090758997281629,0.04841905892263505,77,9,15,76,1.0334706539407498e-06,3.321993793430015e-08,,2,COMPLETE
