,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state
293,293,0.3204886388313122,2023-06-22 01:17:46.954127,2023-06-22 01:18:09.653113,0 days 00:00:22.698986,42.240179281756305,,Bayesian,,4,Lossguide,99.68918706361085,0.1064092229524844,119.0,46,15.733169535290294,,COMPLETE
57,57,0.3205669088239395,2023-06-21 23:46:57.729455,2023-06-21 23:47:25.613822,0 days 00:00:27.884367,42.1447702600094,,Bayesian,,4,Depthwise,14.651856946032595,0.03076973550603868,,35,80.2121775857753,,COMPLETE
484,484,0.3205827965787331,2023-06-22 02:17:02.177557,2023-06-22 02:17:25.088092,0 days 00:00:22.910535,31.19758797686069,,Bayesian,,4,Lossguide,3.6152747109102683,0.028707534236168397,113.0,56,72.70063511359541,,COMPLETE
71,71,0.32062425462413097,2023-06-21 23:52:51.215861,2023-06-21 23:53:16.936033,0 days 00:00:25.720172,39.90044023946674,,Bayesian,,4,Depthwise,2.209875224781682,0.027275533436547927,,40,71.91181635559826,,COMPLETE
163,163,0.3208396363740727,2023-06-22 00:33:53.596034,2023-06-22 00:34:16.007695,0 days 00:00:22.411661,42.20743497532043,,Bayesian,,4,Lossguide,8.759490224101615,0.03950327875739914,120.0,33,77.23892422320276,,COMPLETE
234,234,0.3211467741918301,2023-06-22 01:01:32.984875,2023-06-22 01:01:55.542980,0 days 00:00:22.558105,38.390058871632945,,Bayesian,,4,Lossguide,16.80838744417911,0.04357991498842048,123.0,42,78.11756308239106,,COMPLETE
152,152,0.3212509855743772,2023-06-22 00:30:10.171857,2023-06-22 00:30:34.487876,0 days 00:00:24.316019,41.63698040822281,,Bayesian,,4,Lossguide,5.2978552793694655,0.03027911889956852,122.0,49,73.19026490825723,,COMPLETE
199,199,0.3212758485055338,2023-06-22 00:48:21.500984,2023-06-22 00:48:45.767688,0 days 00:00:24.266704,36.726061961482316,,Bayesian,,4,Lossguide,5.990751325731438,0.032602256145736384,110.0,35,59.18296079294705,,COMPLETE
23,23,0.3212959771884793,2023-06-21 23:34:22.537256,2023-06-21 23:34:33.055949,0 days 00:00:10.518693,41.929645639773156,,Bayesian,,4,Depthwise,0.06893131056921718,0.06319356701902994,,59,50.17921593812489,,COMPLETE
109,109,0.3214120540008293,2023-06-22 00:12:15.827357,2023-06-22 00:12:41.338228,0 days 00:00:25.510871,41.44865025624942,,Bayesian,,4,Lossguide,17.833845983943043,0.03986483214488281,105.0,46,73.63360834003117,,COMPLETE
52,52,0.3214792339119997,2023-06-21 23:44:35.832040,2023-06-21 23:45:11.955310,0 days 00:00:36.123270,35.84539328473985,,Bayesian,,4,Depthwise,36.15821118418453,0.03184969275271392,,38,68.98220171021742,,COMPLETE
276,276,0.32151780295770677,2023-06-22 01:12:48.658029,2023-06-22 01:13:12.823273,0 days 00:00:24.165244,43.28313192424586,,Bayesian,,4,Lossguide,14.761416340764425,0.039095857664148526,122.0,41,76.20483788637603,,COMPLETE
277,277,0.32154294908245973,2023-06-22 01:13:12.824057,2023-06-22 01:13:36.285473,0 days 00:00:23.461416,43.3279139377616,,Bayesian,,4,Lossguide,15.78411039843285,0.04040509759666705,126.0,40,75.77068366563482,,COMPLETE
137,137,0.32175889479603237,2023-06-22 00:24:40.352721,2023-06-22 00:25:05.769238,0 days 00:00:25.416517,37.51914045014017,,Bayesian,,4,Lossguide,5.8407552397433635,0.02582747301187334,36.0,48,80.98955452723014,,COMPLETE
170,170,0.3217662481796462,2023-06-22 00:36:46.213139,2023-06-22 00:37:13.789423,0 days 00:00:27.576284,45.6351318517763,,Bayesian,,4,Lossguide,49.75700317085395,0.05561469189857195,109.0,37,82.60868847142902,,COMPLETE
169,169,0.3218796225571453,2023-06-22 00:36:18.772313,2023-06-22 00:36:46.212395,0 days 00:00:27.440082,40.873407245828496,,Bayesian,,4,Lossguide,20.469635508194475,0.04063221241484683,106.0,37,79.9713119097425,,COMPLETE
344,344,0.3218963433626856,2023-06-22 01:34:30.387681,2023-06-22 01:35:03.860676,0 days 00:00:33.472995,35.248465547924624,,Bayesian,,4,Lossguide,99.85450823873342,0.06911170873229681,51.0,42,15.045722442198233,,COMPLETE
460,460,0.3219160143374728,2023-06-22 02:10:10.153212,2023-06-22 02:10:36.493428,0 days 00:00:26.340216,43.00068503780015,,Bayesian,,4,Lossguide,10.947800227984505,0.027521147918055988,107.0,39,74.8175245705134,,COMPLETE
111,111,0.3219410769095748,2023-06-22 00:13:13.234757,2023-06-22 00:13:42.572418,0 days 00:00:29.337661,41.55825936434872,,Bayesian,,4,Lossguide,19.895727234169854,0.04160690129249083,102.0,34,75.02543902522967,,COMPLETE
213,213,0.3220515409762584,2023-06-22 00:53:19.037643,2023-06-22 00:53:47.379729,0 days 00:00:28.342086,39.269971521688,,Bayesian,,4,Lossguide,29.240830834356505,0.04829898806161027,106.0,27,76.0220735649732,,COMPLETE
181,181,0.3222133886508635,2023-06-22 00:40:39.192089,2023-06-22 00:41:06.956769,0 days 00:00:27.764680,42.68556642653075,,Bayesian,,4,Lossguide,21.696522059046444,0.03976391277079069,109.0,37,79.90116920204935,,COMPLETE
440,440,0.32226161910952356,2023-06-22 02:03:36.167827,2023-06-22 02:03:52.805932,0 days 00:00:16.638105,42.14358069570289,,Bayesian,,4,Depthwise,30.153696549083463,0.0849835086796552,,56,19.459244174560794,,COMPLETE
394,394,0.32229388981131657,2023-06-22 01:50:31.683741,2023-06-22 01:50:59.476673,0 days 00:00:27.792932,30.701092523080444,,Bayesian,,4,Lossguide,1.9400103914066757,0.019383366500700386,109.0,42,43.76698776864894,,COMPLETE
186,186,0.32266317887655815,2023-06-22 00:42:57.847329,2023-06-22 00:43:20.832839,0 days 00:00:22.985510,37.627049537485966,,Bayesian,,4,Lossguide,8.664396199575124,0.041212445224530325,53.0,38,76.79414264761509,,COMPLETE
69,69,0.3227050149787087,2023-06-21 23:51:28.700430,2023-06-21 23:51:54.686255,0 days 00:00:25.985825,40.52771226940919,,Bayesian,,4,Depthwise,2.450117370545333,0.022036223945830307,,49,73.8806913755966,,COMPLETE
375,375,0.322747945580454,2023-06-22 01:45:19.104674,2023-06-22 01:45:29.103223,0 days 00:00:09.998549,46.24798776151522,,Bayesian,,4,Lossguide,8.605502940195958,0.1170722799086751,95.0,34,50.4935163710063,,COMPLETE
391,391,0.3228269706954343,2023-06-22 01:49:15.775260,2023-06-22 01:49:44.245541,0 days 00:00:28.470281,25.482218129913257,,Bayesian,,4,Lossguide,57.1795702934754,0.06376104762848392,82.0,28,70.06797170849515,,COMPLETE
405,405,0.3228947291482002,2023-06-22 01:53:47.663269,2023-06-22 01:54:20.287258,0 days 00:00:32.623989,38.65102752869169,,Bayesian,,4,Lossguide,9.441682884417768,0.023827465870091605,113.0,36,47.0875420514446,,COMPLETE
225,225,0.32294335793055245,2023-06-22 00:57:37.652992,2023-06-22 00:58:09.291920,0 days 00:00:31.638928,42.558574684190255,,Bayesian,,4,Lossguide,20.33426789163079,0.04126358098103793,115.0,25,57.87000019508538,,COMPLETE
84,84,0.3230164040973376,2023-06-22 00:00:02.047958,2023-06-22 00:00:34.676650,0 days 00:00:32.628692,31.101377628477806,,Bayesian,,4,Depthwise,15.175115058059951,0.02193491377042,,51,69.95223595554866,,COMPLETE
231,231,0.32302628308252995,2023-06-22 01:00:18.510989,2023-06-22 01:00:38.413927,0 days 00:00:19.902938,44.55461113018626,,Bayesian,,4,Lossguide,9.413767586374261,0.040036133716347,108.0,50,73.18394901079267,,COMPLETE
232,232,0.3230507128583999,2023-06-22 01:00:38.414647,2023-06-22 01:00:58.969366,0 days 00:00:20.554719,43.12596465913908,,Bayesian,,4,Lossguide,4.08210699911593,0.03162066218007675,118.0,47,43.022502960055824,,COMPLETE
254,254,0.3231634717534852,2023-06-22 01:06:02.144625,2023-06-22 01:06:13.175292,0 days 00:00:11.030667,31.38667994977908,,Bayesian,,4,Lossguide,3.4754827943748694,0.07852438264081582,35.0,43,74.87777683455059,,COMPLETE
105,105,0.3232109366410199,2023-06-22 00:10:22.135107,2023-06-22 00:10:50.221475,0 days 00:00:28.086368,33.13484901972201,,Bayesian,,4,Depthwise,5.1097405247081955,0.02197566514869551,,42,66.91014530025053,,COMPLETE
164,164,0.3232569568221128,2023-06-22 00:34:16.008369,2023-06-22 00:34:36.035654,0 days 00:00:20.027285,46.84700139633026,,Bayesian,,4,Lossguide,8.841492388551519,0.03854709223295348,120.0,34,77.4094187165131,,COMPLETE
83,83,0.3234080125606302,2023-06-21 23:59:32.137113,2023-06-22 00:00:02.047337,0 days 00:00:29.910224,32.16705200413886,,Bayesian,,4,Depthwise,5.728454072663759,0.021576376789526314,,42,69.6216396267314,,COMPLETE
