,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state,params_n_estimators
30,30,0.26866831140792613,2023-07-17 14:13:01.878341,2023-07-17 14:13:03.483494,0 days 00:00:01.605153,0.6552179648710347,gbtree,0.7811744763173383,5.485838052947463e-06,lossguide,3.7426047538431414e-06,0.09888789031286303,6,5,0.6818059093660178,COMPLETE,1584
540,540,0.26871239351862164,2023-07-17 15:35:13.267086,2023-07-17 15:35:15.235599,0 days 00:00:01.968513,6.054569609179255e-06,gbtree,0.8277616764741155,4.205753148160583e-05,depthwise,1.0382839917894497e-06,0.06997147260824878,4,4,0.5148193261550575,COMPLETE,861
231,231,0.26879787816181866,2023-07-17 14:39:17.263430,2023-07-17 14:39:25.399156,0 days 00:00:08.135726,0.9628907189211797,gbtree,0.8816032325305773,1.0603799985225104e-06,depthwise,3.647878444139492e-06,0.029306133845148852,7,5,0.552917938592614,COMPLETE,368
219,219,0.2688416164437425,2023-07-17 14:37:12.957964,2023-07-17 14:37:20.841311,0 days 00:00:07.883347,0.5501919705790002,gbtree,0.8580825653427991,2.4789362944683997e-06,depthwise,8.87699281200047e-06,0.0357497747067307,7,5,0.6180462437397269,COMPLETE,407
270,270,0.2688466249815554,2023-07-17 14:44:32.715553,2023-07-17 14:44:39.918330,0 days 00:00:07.202777,0.6959458267602774,gbtree,0.9170724204584451,6.450461360327975e-06,depthwise,0.20085905454639882,0.05068513957246718,10,6,0.6134590340389777,COMPLETE,289
926,926,0.26896618451078624,2023-07-17 16:30:57.272818,2023-07-17 16:31:02.713531,0 days 00:00:05.440713,4.090466951160503e-06,gbtree,0.5543903209417278,6.9370629986985e-05,lossguide,0.10165259887072736,0.048711152594333354,3,5,0.6225096610528325,COMPLETE,250
250,250,0.2689831640624918,2023-07-17 14:41:58.543065,2023-07-17 14:42:04.929541,0 days 00:00:06.386476,0.49670875840935563,gbtree,0.898901188803219,4.204086773192186e-06,depthwise,0.35223636089290555,0.039464607449234,8,6,0.5940613843011554,COMPLETE,726
235,235,0.26899093682099057,2023-07-17 14:39:51.715831,2023-07-17 14:39:58.173327,0 days 00:00:06.457496,0.4987747393643057,gbtree,0.849818148249291,1.0154323584502932e-06,depthwise,0.35837029800791037,0.03591908488819094,7,5,0.5331566247546691,COMPLETE,242
519,519,0.2690254142654427,2023-07-17 15:33:35.418501,2023-07-17 15:33:39.120382,0 days 00:00:03.701881,9.252399731505555e-06,gbtree,0.9062914838255413,4.454548402942508e-06,lossguide,1.420376615467663e-06,0.03484791555523269,3,4,0.5012381336571219,COMPLETE,750
310,310,0.26905266371657044,2023-07-17 14:52:14.719006,2023-07-17 14:52:36.531698,0 days 00:00:21.812692,0.7430237658562133,gbtree,0.5020146426518101,4.474730501424256e-05,depthwise,1.4909508055714548e-05,0.009693552297732725,8,5,0.5576076816296058,COMPLETE,534
528,528,0.2690790744035285,2023-07-17 15:34:11.077519,2023-07-17 15:34:12.771514,0 days 00:00:01.693995,2.4577980966064142e-05,gbtree,0.877030777499851,5.2596033506345785e-05,depthwise,9.914406766670446e-08,0.0863755762223246,3,4,0.4579866557002065,COMPLETE,686
376,376,0.2691199345234331,2023-07-17 15:10:02.812156,2023-07-17 15:10:09.115310,0 days 00:00:06.303154,0.007553414991800019,gbtree,0.5268563292905234,3.8688838382396455e-06,depthwise,0.048097712761110724,0.042339368851840364,8,5,0.6548622346638879,COMPLETE,298
667,667,0.269208003687362,2023-07-17 15:50:54.720185,2023-07-17 15:50:57.920703,0 days 00:00:03.200518,7.580991010010174e-06,gbtree,0.6923509403758682,0.00042477264555693925,depthwise,8.053439307953405e-06,0.034355541161949124,3,5,0.7363725876868166,COMPLETE,444
532,532,0.26920873616220586,2023-07-17 15:34:21.476118,2023-07-17 15:34:24.425666,0 days 00:00:02.949548,9.114027932698302e-06,gbtree,0.8528586574217116,7.112858360533303e-05,lossguide,2.1686064816420114e-07,0.029238772720950292,4,4,0.49886895104774875,COMPLETE,801
142,142,0.26932458924933944,2023-07-17 14:25:06.749169,2023-07-17 14:25:16.648766,0 days 00:00:09.899597,0.05059867098294638,gbtree,0.8447132638508398,2.3074351864407236e-08,depthwise,2.5939975552068605e-05,0.03132546157085075,6,5,0.6192520688227937,COMPLETE,642
150,150,0.2693571600139706,2023-07-17 14:26:19.795572,2023-07-17 14:26:25.368610,0 days 00:00:05.573038,0.013978867652730854,gbtree,0.8599562144382837,2.570561952279136e-08,depthwise,1.0309073490536504e-05,0.06551190649281104,6,5,0.5882015179417492,COMPLETE,834
737,737,0.26953823628329154,2023-07-17 15:59:03.849775,2023-07-17 15:59:06.353700,0 days 00:00:02.503925,0.5621660931501941,gbtree,0.8559236800763471,1.9498367281063504e-07,depthwise,9.080496560877075e-06,0.04192550655791656,5,5,0.5820789049320502,COMPLETE,1254
257,257,0.2696331933801354,2023-07-17 14:42:44.953112,2023-07-17 14:42:51.150820,0 days 00:00:06.197708,0.2801597231236458,gbtree,0.886528557342641,8.951702533790009e-06,depthwise,0.38098477628317634,0.04088539779285826,9,6,0.6107444172838526,COMPLETE,329
717,717,0.2696604889168929,2023-07-17 15:56:39.906697,2023-07-17 15:56:46.760543,0 days 00:00:06.853846,0.00012950035051333453,gbtree,0.7785075185803221,3.541554027605102e-06,depthwise,2.8126635209503295e-05,0.011199711326190957,3,3,0.5372211642090202,COMPLETE,864
175,175,0.26982698432929875,2023-07-17 14:30:24.293091,2023-07-17 14:30:32.177173,0 days 00:00:07.884082,0.16537932410009887,gbtree,0.7469104211705395,4.304091334630117e-08,depthwise,2.545707548271011e-06,0.04151665036870168,7,5,0.6248746858486227,COMPLETE,571
181,181,0.2698817648235916,2023-07-17 14:31:21.968302,2023-07-17 14:31:29.982794,0 days 00:00:08.014492,0.09310273104005422,gbtree,0.7179934396064904,2.7339883855087324e-07,depthwise,4.2961459418290334e-06,0.03429645438710565,7,5,0.6002882188169092,COMPLETE,298
199,199,0.26991287209149806,2023-07-17 14:34:20.978636,2023-07-17 14:34:27.929427,0 days 00:00:06.950791,0.08725962737151652,gbtree,0.727238617625927,3.321014909855458e-07,depthwise,2.5557157603647145e-06,0.03290902492104757,6,5,0.5923386082899482,COMPLETE,921
66,66,0.2699476046838172,2023-07-17 14:15:54.972335,2023-07-17 14:16:02.410962,0 days 00:00:07.438627,0.0014248086851217354,gbtree,0.8702197031999268,3.5219955525769437e-06,lossguide,1.6038729647785734e-06,0.03831162648946047,4,6,0.6357151453750295,COMPLETE,1884
326,326,0.2699557278082828,2023-07-17 14:56:20.752013,2023-07-17 14:56:43.846180,0 days 00:00:23.094167,0.0001575445047197303,gbtree,0.5329994953753249,3.302431227518615e-05,depthwise,0.019897852644503684,0.007152802523547336,3,6,0.5941902396078298,COMPLETE,1099
397,397,0.2700230021315667,2023-07-17 15:16:46.213246,2023-07-17 15:16:53.648410,0 days 00:00:07.435164,0.9879474323566093,gbtree,0.6060077763370724,1.9207521489528705e-05,depthwise,6.653077721370899e-06,0.03693169319723859,8,5,0.6426050339342627,COMPLETE,1740
928,928,0.27003233238788715,2023-07-17 16:31:10.388327,2023-07-17 16:31:17.000981,0 days 00:00:06.612654,0.030904372546189184,gbtree,0.760280373201086,0.005055279242537526,depthwise,1.1652606352490127e-07,0.04224853969256421,10,5,0.60979838262828,COMPLETE,369
927,927,0.2700627673765952,2023-07-17 16:31:02.714525,2023-07-17 16:31:10.387352,0 days 00:00:07.672827,2.7013997471086205e-07,gbtree,0.7838459684279511,4.187934768647997e-06,depthwise,0.29504693732616344,0.026937546380122808,7,4,0.4473346470549215,COMPLETE,426
907,907,0.27010728532763706,2023-07-17 16:26:06.675131,2023-07-17 16:26:10.189181,0 days 00:00:03.514050,0.3240554792053933,gbtree,0.40474088372292555,4.335143417283989e-08,lossguide,0.00010020151020746123,0.039554241204962454,4,4,0.7655401980527492,COMPLETE,329
470,470,0.2701453163263019,2023-07-17 15:28:03.825009,2023-07-17 15:28:07.994199,0 days 00:00:04.169190,1.7801253645052526e-07,gbtree,0.6988081968649854,1.4253849750724308e-05,depthwise,0.0004790750401081593,0.028747222678218397,8,6,0.5917747585126211,COMPLETE,319
718,718,0.27015446354133554,2023-07-17 15:56:46.761349,2023-07-17 15:56:49.219681,0 days 00:00:02.458332,0.08755975512319863,gbtree,0.8848045437992959,0.04915927344473606,depthwise,2.7073303423111517e-08,0.04051423387551625,6,5,0.5125693076906213,COMPLETE,808
533,533,0.2701712361775525,2023-07-17 15:34:24.426540,2023-07-17 15:34:27.192895,0 days 00:00:02.766355,5.642559806054583e-06,gbtree,0.8705342905144772,2.604976689783267e-05,depthwise,3.0597086959449326e-07,0.03540897188720961,4,4,0.4881705914552822,COMPLETE,569
516,516,0.27020169670365024,2023-07-17 15:33:28.423625,2023-07-17 15:33:30.681471,0 days 00:00:02.257846,1.9634164197069243e-05,gbtree,0.9236207732650904,1.1411359697584383e-06,lossguide,2.0056625666206973e-06,0.04706961632433523,3,4,0.4687064431669643,COMPLETE,1120
976,976,0.2703053384656108,2023-07-17 16:38:11.697116,2023-07-17 16:38:14.141676,0 days 00:00:02.444560,1.6687584930244505e-07,gbtree,0.8773486874853895,2.8967797726964763e-08,depthwise,1.0661245660637779e-05,0.04340610246739075,7,6,0.6033676389420619,COMPLETE,547
380,380,0.27047264631972967,2023-07-17 15:11:15.090322,2023-07-17 15:11:22.403878,0 days 00:00:07.313556,0.698423147474564,gbtree,0.5268148153990788,6.455839254451101e-06,depthwise,0.22846357622332739,0.04049761297872659,8,6,0.6508854668113558,COMPLETE,413
467,467,0.2704866086445526,2023-07-17 15:27:51.955977,2023-07-17 15:27:55.751930,0 days 00:00:03.795953,0.00038534629414302825,gbtree,0.6743291137219583,3.943190781092058e-06,depthwise,0.011029072509910894,0.03386495105080173,8,6,0.6500700417297904,COMPLETE,864
636,636,0.270545433796721,2023-07-17 15:46:08.301890,2023-07-17 15:46:11.044557,0 days 00:00:02.742667,6.127221381152517e-07,gbtree,0.8879715150536843,1.1016857664412774e-08,depthwise,0.9585363328661086,0.04423723592581368,5,4,0.6288499209224505,COMPLETE,241
316,316,0.27054669445039087,2023-07-17 14:54:00.824611,2023-07-17 14:54:05.725533,0 days 00:00:04.900922,0.0011116542946275525,gbtree,0.6118878466460943,4.3385073744760893e-05,depthwise,0.3823240071165704,0.05323020909456584,8,5,0.5750172803967177,COMPLETE,412
320,320,0.2705987678235434,2023-07-17 14:54:49.286521,2023-07-17 14:55:03.729494,0 days 00:00:14.442973,0.6206054794607411,gbtree,0.5918673110590199,3.070283300881923e-05,depthwise,1.2488952768614224e-05,0.01918224645237296,8,4,0.6553277209038789,COMPLETE,409
155,155,0.27062702539219297,2023-07-17 14:26:50.121753,2023-07-17 14:26:59.299981,0 days 00:00:09.178228,0.04302083928328375,gbtree,0.8751679536571553,1.8274568729608844e-08,depthwise,9.36259962791342e-06,0.029147989658279312,6,5,0.5383138278099769,COMPLETE,985
138,138,0.27065374592932356,2023-07-17 14:24:21.676187,2023-07-17 14:24:31.728265,0 days 00:00:10.052078,0.029969868237904814,gbtree,0.8523217059400019,1.0381448414936398e-08,depthwise,4.887679768057048e-06,0.027164958185169372,7,5,0.5837138253190906,COMPLETE,358
589,589,0.2707032309832529,2023-07-17 15:40:36.620645,2023-07-17 15:40:40.487149,0 days 00:00:03.866504,0.00021017057343701985,gbtree,0.9163308009892638,0.0003095186505163684,lossguide,9.718640104954775e-06,0.02598618222658712,6,7,0.5753914454106944,COMPLETE,547
531,531,0.2707038270564247,2023-07-17 15:34:18.425637,2023-07-17 15:34:21.475257,0 days 00:00:03.049620,6.961452029603012e-06,gbtree,0.8615896493673846,4.712491930845657e-05,depthwise,3.096958181033807e-07,0.03230695378913576,4,4,0.5068275236459076,COMPLETE,1331
242,242,0.2707380065778743,2023-07-17 14:40:40.125648,2023-07-17 14:40:49.288466,0 days 00:00:09.162818,0.9980444054592061,gbtree,0.8603646162275516,3.2976327738726737e-06,depthwise,0.713428342379744,0.03212120318372023,7,5,0.5897751370349958,COMPLETE,782
129,129,0.27078077586275473,2023-07-17 14:23:12.021386,2023-07-17 14:23:20.972874,0 days 00:00:08.951488,0.46493447804577903,gbtree,0.842359706835079,1.9928075471177276e-08,lossguide,3.6002709182418718e-06,0.03677065432781361,7,5,0.640706883924646,COMPLETE,707
387,387,0.27078519568038073,2023-07-17 15:13:21.148131,2023-07-17 15:13:34.562352,0 days 00:00:13.414221,0.5070295965876624,gbtree,0.4834390271232138,7.999171419335053e-06,depthwise,9.31294240048915e-05,0.017105782604893316,10,5,0.6616850563517781,COMPLETE,995
819,819,0.2709130816941361,2023-07-17 16:14:03.799528,2023-07-17 16:14:11.325061,0 days 00:00:07.525533,2.16703872642695e-06,gbtree,0.6118311880576744,2.7462364051851875e-05,depthwise,0.2252206485308248,0.010826130024856032,6,4,0.6537226506601465,COMPLETE,401
147,147,0.2709249497812171,2023-07-17 14:25:59.675649,2023-07-17 14:26:08.108986,0 days 00:00:08.433337,0.02955320792091687,gbtree,0.8723685684090893,1.8155719716699124e-08,depthwise,2.7854837731856417e-05,0.0328376727702074,6,5,0.5823405631209493,COMPLETE,420
381,381,0.2709273651977132,2023-07-17 15:11:22.405507,2023-07-17 15:11:45.753885,0 days 00:00:23.348378,0.06207774733674199,gbtree,0.4802227146847544,3.597315180746924e-07,depthwise,0.6342783681864345,0.007833330968467809,8,5,0.6478897884575414,COMPLETE,229
171,171,0.2709387061017472,2023-07-17 14:29:51.058318,2023-07-17 14:29:58.372548,0 days 00:00:07.314230,0.047928981409958236,gbtree,0.7099591564258896,3.941239043646662e-08,depthwise,4.577877289780355e-06,0.03671152191351501,7,5,0.5971693154865193,COMPLETE,963
161,161,0.2710447974115575,2023-07-17 14:28:09.753715,2023-07-17 14:28:20.605058,0 days 00:00:10.851343,0.010541570460948087,gbtree,0.8431273662997544,2.5585135750568296e-08,depthwise,9.359768619862643e-06,0.02807417567162021,7,5,0.5803167595924682,COMPLETE,435
973,973,0.2710633668568371,2023-07-17 16:37:56.291292,2023-07-17 16:38:00.191194,0 days 00:00:03.899902,4.335865300296601e-06,gbtree,0.8517725007564536,3.6382807263497506e-07,depthwise,0.726854246416985,0.027084455948415655,6,5,0.6184394459660734,COMPLETE,287
71,71,0.2710812374806526,2023-07-17 14:16:37.064503,2023-07-17 14:16:42.853667,0 days 00:00:05.789164,0.009108412367728125,gbtree,0.870163352035426,3.391455315418667e-07,lossguide,1.2970516129869794e-06,0.057478770904776134,4,5,0.6506592968380535,COMPLETE,872
201,201,0.2710847274571327,2023-07-17 14:34:35.495675,2023-07-17 14:34:41.844984,0 days 00:00:06.349309,0.08795405218649416,gbtree,0.7217131263501588,7.343332693602772e-07,depthwise,2.81047092015537e-06,0.03841357963650315,6,5,0.5710017681117263,COMPLETE,413
764,764,0.27108720184342744,2023-07-17 16:04:49.896126,2023-07-17 16:05:01.187173,0 days 00:00:11.291047,0.007527786982957903,gbtree,0.5172870449305935,1.356029698768691e-07,depthwise,8.97552806368329e-05,0.012826109482768022,3,6,0.571940152506343,COMPLETE,1645
205,205,0.2710974801010742,2023-07-17 14:35:05.414400,2023-07-17 14:35:29.763399,0 days 00:00:24.348999,0.039815310653711,gbtree,0.6694577109071307,1.2795272749605396e-06,depthwise,7.832503442587586e-06,0.010184722994799762,6,5,0.5812280808552895,COMPLETE,455
830,830,0.2712499437462098,2023-07-17 16:14:58.663400,2023-07-17 16:15:02.101949,0 days 00:00:03.438549,0.051317210176192625,gbtree,0.6975229007002681,9.78515412274658e-07,depthwise,0.7114101103591621,0.03215109193818939,6,4,0.6265031066671365,COMPLETE,525
166,166,0.27132643815810464,2023-07-17 14:29:09.993437,2023-07-17 14:29:17.013879,0 days 00:00:07.020442,0.12806331272751875,gbtree,0.7178328589381534,8.224942421561991e-08,depthwise,4.875308571287159e-06,0.03479226817890876,7,5,0.5986265473306924,COMPLETE,655
588,588,0.2713632861127543,2023-07-17 15:40:33.028192,2023-07-17 15:40:36.619635,0 days 00:00:03.591443,5.02933275024116e-05,gbtree,0.9014370327126354,0.00019345144177986278,depthwise,0.06876779829705984,0.029103084735518484,3,6,0.6610062119511124,COMPLETE,860
576,576,0.27136541983334317,2023-07-17 15:38:46.718723,2023-07-17 15:38:49.987977,0 days 00:00:03.269254,9.277410927691937e-05,gbtree,0.744223451663219,9.111205353567673e-08,depthwise,0.01821853670023244,0.03244569086629358,6,4,0.6628465960851329,COMPLETE,978
609,609,0.2714220160778683,2023-07-17 15:43:29.856508,2023-07-17 15:43:32.471231,0 days 00:00:02.614723,0.0009378687311330279,gbtree,0.9213032126469578,4.165740110367294e-06,depthwise,4.4977054673117065e-07,0.03435836016283202,6,4,0.40199707826898623,COMPLETE,1066
493,493,0.27146233595819946,2023-07-17 15:31:00.018754,2023-07-17 15:31:02.556500,0 days 00:00:02.537746,5.88488318405695e-05,gbtree,0.8500565904972615,4.5053099932659957e-07,lossguide,3.312596780656418e-06,0.03966498354208171,7,5,0.6105233851060613,COMPLETE,844
453,453,0.27146775304404247,2023-07-17 15:26:17.606123,2023-07-17 15:26:28.461119,0 days 00:00:10.854996,0.5185933641994368,gbtree,0.5586008891708018,9.922337570996168e-06,depthwise,6.545945731737308e-08,0.010671639020826412,6,6,0.7844690194202872,COMPLETE,266
322,322,0.27149765831075434,2023-07-17 14:55:15.456430,2023-07-17 14:55:30.146045,0 days 00:00:14.689615,0.3482477994441387,gbtree,0.47852976753424603,4.850227702967374e-06,depthwise,2.225474299227422e-05,0.01812021488925242,8,3,0.5863628388090953,COMPLETE,444
190,190,0.27153476465131166,2023-07-17 14:32:38.604921,2023-07-17 14:32:47.567889,0 days 00:00:08.962968,0.2459115768178573,gbtree,0.7535175271769935,2.8538223075461956e-07,depthwise,2.006564503010641e-06,0.03266714252006927,7,5,0.6239915617190469,COMPLETE,303
941,941,0.27157178282930516,2023-07-17 16:33:50.072429,2023-07-17 16:33:53.325780,0 days 00:00:03.253351,1.4081107569404324e-07,gbtree,0.8787570967133576,4.5791353651691545e-05,lossguide,8.495882109343861e-06,0.04069737990596504,5,5,0.5900502139143895,COMPLETE,1213
722,722,0.27158106488411415,2023-07-17 15:57:12.955818,2023-07-17 15:57:15.879967,0 days 00:00:02.924149,0.1291588082592319,gbtree,0.945877599531944,5.3886859970724364e-08,depthwise,0.00019464373226319267,0.03267250125326765,4,6,0.49148664709093653,COMPLETE,665
429,429,0.2715933774525515,2023-07-17 15:22:36.249599,2023-07-17 15:22:48.604717,0 days 00:00:12.355118,0.23191656951393896,gbtree,0.587752319986821,1.4724510722249546e-06,depthwise,1.3342203650150571e-08,0.0076008434670158335,7,5,0.6337506094314098,COMPLETE,775
779,779,0.2716796505130061,2023-07-17 16:07:21.962039,2023-07-17 16:07:24.383149,0 days 00:00:02.421110,0.004237295123361293,gbtree,0.8453418726369585,4.7883130686029316e-08,depthwise,3.401020452561403e-07,0.08388795571015069,3,5,0.5733770227395629,COMPLETE,886
152,152,0.27168181039737826,2023-07-17 14:26:30.663434,2023-07-17 14:26:38.553657,0 days 00:00:07.890223,0.03042083554983235,gbtree,0.8834024274427127,1.645003829507502e-08,depthwise,5.3768323212548804e-06,0.04876279190424279,6,5,0.5623525464642477,COMPLETE,807
108,108,0.27171299697898554,2023-07-17 14:21:16.868832,2023-07-17 14:21:21.536232,0 days 00:00:04.667400,0.0006793102964382418,gbtree,0.8308668664387295,3.2683832053349374e-08,lossguide,5.833725909443235e-06,0.05780972961216277,8,6,0.5725429133321921,COMPLETE,1309
134,134,0.27172051978473766,2023-07-17 14:23:50.802713,2023-07-17 14:23:57.961158,0 days 00:00:07.158445,0.009160347342365063,gbtree,0.8272160852951448,2.9777199641919098e-08,lossguide,1.006607524147908e-05,0.03148943352577533,7,5,0.6144136838807167,COMPLETE,844
315,315,0.2717762397196518,2023-07-17 14:53:44.388030,2023-07-17 14:54:00.823459,0 days 00:00:16.435429,0.5022581442572404,gbtree,0.5459197098012678,8.166509490632633e-05,depthwise,1.6411669618237594e-05,0.014268510141727215,8,6,0.7231568951538263,COMPLETE,1121
