,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,state
35,35,0.2629032457781687,2023-06-11 15:13:30.934806,2023-06-11 15:13:32.931917,0 days 00:00:01.997111,6,0.6770936694070897,4.46643274903483e-06,3.831580120223499e-06,0.15545835594199725,175,4,13,58,COMPLETE
93,93,0.263144939199704,2023-06-11 15:14:20.529616,2023-06-11 15:14:23.233449,0 days 00:00:02.703833,6,0.6767943056993055,4.553796964895295e-05,2.7695658946740276e-07,0.11146275638457263,132,7,26,39,COMPLETE
324,324,0.2631481933834057,2023-06-11 15:16:30.377720,2023-06-11 15:16:32.689856,0 days 00:00:02.312136,1,0.598593311218654,1.021133827080194e-07,6.268209917118803e-07,0.13641222782745666,89,4,17,56,COMPLETE
206,206,0.2631811317675748,2023-06-11 15:15:39.143402,2023-06-11 15:15:41.893703,0 days 00:00:02.750301,5,0.6398460638991461,1.0404643743152355e-05,1.4948562680161963e-07,0.11668930916987452,79,4,21,57,COMPLETE
111,111,0.2632656560562202,2023-06-11 15:14:37.000032,2023-06-11 15:14:38.952013,0 days 00:00:01.951981,5,0.6067014190429805,1.700031001640107e-06,1.353350517506246e-07,0.1484049795689935,92,4,13,57,COMPLETE
212,212,0.2633948371192794,2023-06-11 15:15:42.281028,2023-06-11 15:15:44.363510,0 days 00:00:02.082482,5,0.6375483544061903,0.007623829253031638,1.7311386485595203e-07,0.1828168556327684,84,4,17,60,COMPLETE
964,964,0.263552550921354,2023-06-11 15:18:39.075377,2023-06-11 15:18:41.444831,0 days 00:00:02.369454,6,0.6387076789059277,8.030357768004076e-06,2.2830067269320468e-05,0.13905113414720074,32,4,9,33,COMPLETE
34,34,0.26365615300182604,2023-06-11 15:13:27.521386,2023-06-11 15:13:30.933221,0 days 00:00:03.411835,7,0.6122140276067283,5.839439045861355e-05,1.037204404759285e-05,0.06584434144369114,97,5,23,50,COMPLETE
221,221,0.2640500033336957,2023-06-11 15:15:45.027195,2023-06-11 15:15:47.385643,0 days 00:00:02.358448,5,0.6353261106349342,0.012025489328679966,1.6033487205513888e-07,0.16841403012958325,86,4,17,60,COMPLETE
114,114,0.264203245340408,2023-06-11 15:14:43.458145,2023-06-11 15:14:45.499827,0 days 00:00:02.041682,5,0.6187444968637908,1.529409733024341e-06,5.496158911299461e-07,0.1490831510474864,107,4,16,53,COMPLETE
26,26,0.2650230717184634,2023-06-11 15:13:24.089366,2023-06-11 15:13:26.636838,0 days 00:00:02.547472,5,0.5927533252247186,0.0033399491111140924,1.2152183695709968e-05,0.10056444024828223,150,5,13,32,COMPLETE
73,73,0.265088411959694,2023-06-11 15:14:07.885974,2023-06-11 15:14:11.403494,0 days 00:00:03.517520,6,0.6416730004165949,2.1655535071407183e-05,1.2105189741541128e-07,0.058967847729506015,106,4,21,48,COMPLETE
272,272,0.2651370796411713,2023-06-11 15:16:07.863632,2023-06-11 15:16:10.389165,0 days 00:00:02.525533,6,0.639453973264082,3.9658684900534125e-06,3.7829517719532078e-06,0.1285954081292747,86,4,13,19,COMPLETE
87,87,0.26516576711449924,2023-06-11 15:14:17.230336,2023-06-11 15:14:19.597048,0 days 00:00:02.366712,3,0.6193091962885172,0.0013254029262216504,2.90602290133783e-08,0.0864501373731274,209,7,12,43,COMPLETE
69,69,0.2651845608513621,2023-06-11 15:14:04.729580,2023-06-11 15:14:07.690241,0 days 00:00:02.960661,7,0.6282866786004713,8.286198406248489e-05,8.170067402069765e-07,0.08815897019362495,123,9,25,54,COMPLETE
